2024-12-18 13:31:51 -> Error inserting row ['873', 'Jane Smith', '456 Oak St', '', 'Phoenix', 'NY', '', '123 Elm St', '123 Elm St', 'Los Angeles', '', 'Germany', 'Tops;Sweatshirts;Cargo', 'Small;medium']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['', 'Jane Smith', '202 Birch St', '101 Maple St', 'Los Angeles', 'CA', 'USA', '202 Birch St', '', 'Los Angeles', 'TX', 'Australia', 'Shirts', 'Small']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['676', 'Alice Johnson', '', '101 Maple St', 'Phoenix', '', 'Canada', '456 Oak St', '456 Oak St', '', '', 'UK', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['809', '', '789 Pine St', '123 Elm St', 'Houston', 'NY', 'USA', '', '', 'New York', '', '', '', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['633', 'Alice Johnson', '202 Birch St', '', 'New York', '', 'Germany', '789 Pine St', '101 Maple St', '', 'AZ', 'Canada', 'Shirts', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['726', '', '', '456 Oak St', '', 'CA', '', '456 Oak St', '101 Maple St', 'New York', '', 'Germany', 'Shirts', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['', 'Charlie Davis', '789 Pine St', '123 Elm St', 'Phoenix', 'IL', '', '', '', '', 'NY', 'UK', ' ', 'small;medium;large']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['961', 'Bob Brown', '', '123 Elm St', 'Phoenix', '', 'UK', '', '123 Elm St', 'Los Angeles', 'IL', '', 'Shirts;Pants', 'Small']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['397', 'Bob Brown', '123 Elm St', '202 Birch St', '', 'AZ', 'UK', '123 Elm St', '789 Pine St', 'Chicago', 'IL', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['646', '', '101 Maple St', '', 'Chicago', 'TX', 'UK', '', '', '', 'AZ', 'Australia', 'Tops;Sweatshirts;Cargo', 'All']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['325', 'Jane Smith', '202 Birch St', '789 Pine St', 'New York', '', '', '123 Elm St', '456 Oak St', 'Los Angeles', '', 'Germany', ' ', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['556', 'John Doe', '123 Elm St', '101 Maple St', 'New York', 'TX', 'UK', '', '456 Oak St', 'New York', 'NY', '', '', 'All']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['542', 'Alice Johnson', '', '', '', 'TX', '', '', '', 'Phoenix', 'NY', 'Australia', '', 'Large']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['791', '', '202 Birch St', '789 Pine St', 'Los Angeles', 'NY', 'Australia', '', '789 Pine St', 'Chicago', 'TX', '', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['629', '', '202 Birch St', '', 'Houston', 'AZ', 'UK', '', '', 'Phoenix', 'AZ', '', '', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['983', '', '123 Elm St', '', '', 'AZ', '', '101 Maple St', '', 'New York', 'TX', 'Canada', ' ', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['573', 'Alice Johnson', '202 Birch St', '456 Oak St', 'Phoenix', 'TX', '', '456 Oak St', '123 Elm St', 'Phoenix', 'NY', 'USA', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['540', '', '789 Pine St', '123 Elm St', 'Houston', 'AZ', '', '789 Pine St', '789 Pine St', 'Phoenix', 'IL', 'Australia', '', 'Large']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['858', 'Jane Smith', '789 Pine St', '456 Oak St', 'Phoenix', '', '', '', '202 Birch St', 'Chicago', '', 'Australia', 'Tops;Sweatshirts;Cargo', '']: Row contains None or empty values
2024-12-18 13:31:51 -> Error inserting row ['479', '', '789 Pine St', '456 Oak St', 'Los Angeles', 'AZ', '', '202 Birch St', '', 'Los Angeles', '', 'USA', 'Shirts;Pants', '']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['904', '', '123 Elm St', '202 Birch St', '', 'AZ', 'Canada', '101 Maple St', '101 Maple St', 'Chicago', 'AZ', 'USA', '', 'Medium']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Bob Brown', '202 Birch St', '789 Pine St', 'Phoenix', 'NY', '', '456 Oak St', '789 Pine St', 'Los Angeles', '', 'Australia', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['264', 'Bob Brown', '456 Oak St', '789 Pine St', 'Los Angeles', 'TX', 'Australia', '202 Birch St', '101 Maple St', 'Houston', '', 'USA', 'Top;Jacket;Hoodies', 'Large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['209', '', '', '', 'New York', 'AZ', 'Australia', '202 Birch St', '789 Pine St', 'New York', 'CA', 'Australia', '', 'small;medium;large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Jane Smith', '456 Oak St', '789 Pine St', '', 'TX', 'USA', '101 Maple St', '123 Elm St', 'Phoenix', 'AZ', 'Canada', 'Tops;Sweatshirts;Cargo', 'small;medium;large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Jane Smith', '456 Oak St', '456 Oak St', 'Chicago', '', 'Australia', '202 Birch St', '', 'Phoenix', '', 'Australia', 'Shirts', '']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Jane Smith', '202 Birch St', '789 Pine St', 'Phoenix', '', 'USA', '', '', 'Los Angeles', '', 'Canada', '', 'Small']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Jane Smith', '202 Birch St', '456 Oak St', 'Houston', '', '', '101 Maple St', '', '', 'CA', 'Australia', '', 'All']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['848', 'Bob Brown', '202 Birch St', '456 Oak St', '', '', '', '', '', 'Houston', 'AZ', 'Germany', '', '']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['316', '', '456 Oak St', '456 Oak St', '', '', 'UK', '', '101 Maple St', '', 'AZ', 'Australia', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['544', '', '101 Maple St', '789 Pine St', 'Chicago', 'TX', 'UK', '123 Elm St', '123 Elm St', 'Houston', 'NY', '', 'Shirts', 'Large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['134', 'Bob Brown', '123 Elm St', '123 Elm St', 'Chicago', 'AZ', 'Australia', '789 Pine St', '101 Maple St', 'Phoenix', '', 'UK', ' ', 'Medium']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', '', '789 Pine St', '', 'Phoenix', 'CA', 'Australia', '', '789 Pine St', '', '', '', 'Top;Jacket;Hoodies', 'Medium']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['738', 'Alice Johnson', '', '202 Birch St', 'Phoenix', 'TX', 'USA', '789 Pine St', '456 Oak St', 'Chicago', 'NY', 'UK', 'Shirts;Pants', 'Small;medium']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['506', 'Bob Brown', '789 Pine St', '202 Birch St', '', 'CA', '', '', '123 Elm St', 'Phoenix', '', 'Canada', 'Top;Jacket;Hoodies', 'small;medium;large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['256', 'John Doe', '', '', 'New York', '', 'UK', '202 Birch St', '789 Pine St', '', 'IL', '', '', 'Large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', '', '', '789 Pine St', 'Phoenix', '', 'Germany', '', '202 Birch St', 'Phoenix', 'NY', '', 'Shirts', 'Small']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['270', 'Bob Brown', '789 Pine St', '202 Birch St', 'Chicago', 'CA', 'USA', '', '101 Maple St', 'Los Angeles', 'NY', 'Germany', 'Shirts', 'Large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['', 'Jane Smith', '123 Elm St', '123 Elm St', '', 'AZ', 'USA', '123 Elm St', '101 Maple St', 'Houston', 'AZ', '', 'Shirts', 'Large']: Row contains None or empty values
2024-12-19 13:06:03 -> Error inserting row ['447', 'Bob Brown', '', '456 Oak St', '', '', '', '123 Elm St', '789 Pine St', 'Chicago', 'IL', '', '', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['252', 'John Doe', '202 Birch St', '123 Elm St', 'Houston', 'TX', 'Canada', '', '456 Oak St', 'Chicago', 'TX', 'UK', 'Tops;Sweatshirts;Cargo', 'Small']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['867', 'Bob Brown', '101 Maple St', '123 Elm St', '', 'AZ', 'Canada', '101 Maple St', '101 Maple St', '', 'NY', 'UK', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['194', '', '123 Elm St', '', '', 'IL', 'Germany', '', '', 'Los Angeles', 'NY', 'USA', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['712', 'Bob Brown', '', '', 'Los Angeles', '', 'Australia', '202 Birch St', '456 Oak St', '', 'IL', 'Australia', 'Shirts', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['955', 'Jane Smith', '', '', 'Chicago', 'IL', 'UK', '', '123 Elm St', '', '', 'USA', 'Top;Jacket;Hoodies', 'Small;medium']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['435', 'John Doe', '123 Elm St', '', '', 'CA', 'USA', '202 Birch St', '456 Oak St', 'Chicago', 'AZ', 'UK', 'Top;Jacket;Hoodies', 'Small']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['192', 'Bob Brown', '', '101 Maple St', 'Chicago', '', '', '', '202 Birch St', '', 'CA', 'UK', 'Top;Jacket;Hoodies', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['891', 'Jane Smith', '', '123 Elm St', '', 'AZ', 'USA', '123 Elm St', '101 Maple St', 'Phoenix', '', '', ' ', '']: Row contains None or empty values
2024-12-19 14:04:29 -> Error inserting row ['', 'Bob Brown', '', '', 'New York', 'IL', '', '789 Pine St', '789 Pine St', 'Houston', '', '', ' ', '']: Row contains None or empty values
